"","month","day_of_month","year","programs_sold","homecoming","morning_kickoff","hour","big_ten","fold","oof_predictions","tss","rss","residuals"
"1","September",8,2012,2500,0,1,11,0,2,2784.97480644685,20709.2179556517,81210.6403094172,-284.974806446846
"2","September",11,2010,2390,0,1,11,0,2,2286.23053669919,64468.7528393726,10768.1015137377,103.769463300808
"3","October",27,2012,2440,0,1,11,1,2,2520.87834050641,41578.055164954,6541.30596307095,-80.878340506411
"4","September",7,2013,4037,0,1,11,1,5,3959.36013574879,1940708.17144402,6027.94852094567,77.6398642512058
"5","November",12,2011,1969,0,1,11,1,7,1999.52513131499,455499.427257977,931.78364179756,-30.5251313149929
"6","October",24,2009,1536,0,1,11,1,7,2266.669437047,1227457.86911844,533877.826234587,-730.669437047005
"7","October",8,2011,2404,1,1,11,1,10,2370.67314945789,57555.3574905354,1110.67896705594,33.326850542107
"8","September",5,2009,2691,0,0,13,0,10,2819.84191102658,2217.75283937263,16600.238036982,-128.841911026583
"9","November",7,2015,3525,0,1,11,0,11,1691.41183841228,776324.91563007,3362045.54631462,1833.58816158772
"10","September",3,2011,2885,0,1,11,0,13,3086.51766039028,58125.8458626284,40609.3674491723,-201.51766039028
"11","September",13,2008,3128,0,0,17,0,13,2735.69708014271,234346.055164954,153901.580928553,392.302919857288
"12","September",24,2011,1911,0,0,14,0,14,2108.01142411295,537152.636560303,38813.5012310142,-197.011424112954
"13","September",1,2012,3634,0,1,11,0,15,3378.37785497117,980284.194699838,65342.6810291422,255.622145028834
"14","September",22,2012,2810,0,0,17,0,18,2748.57709786215,27586.8923742563,3772.7729070358,61.4229021378492
"15","November",5,2011,2345,0,1,11,1,18,2044.29932537675,89345.3807463494,90420.8957188783,300.700674623251
"16","November",16,2013,2445,0,0,15,1,18,2949.49487346411,39563.9853975122,254515.077351566,-504.494873464108
"17","October",4,2014,2910,1,1,11,1,20,3568.80845602181,70805.4970254191,434028.581725838,-658.808456021808
"18","October",18,2008,2158,1,0,13,1,20,2121.92776820777,236105.590048675,1301.20590647257,36.0722317922327
"19","October",2,2010,3056,1,1,11,1,21,2508.41814842954,169820.659816117,299845.884169335,547.581851570461
"20","November",1,2008,2120,0,0,13,1,23,2384.16587036848,274478.520281233,69783.6070675369,-264.165870368481
"21","October",24,2015,3291,0,1,11,1,24,3496.08830684661,418729.380746349,42061.2136052072,-205.088306846605
"22","November",17,2012,2173,0,1,11,1,24,2220.24276688695,221753.380746349,2231.87902313466,-47.2427668869495
"23","September",17,2011,3677,0,0,17,1,25,3545.96306237855,1067281.19469984,17170.6790212075,131.036937621449
"24","October",3,2009,1669,1,1,11,0,26,1745.87808254229,950443.613304489,5910.23957537947,-76.8780825422921
"25","October",15,2011,2113,0,1,11,1,28,2248.33071626587,281862.217955652,18314.4027650324,-135.330716265866
"26","November",15,2008,1434,0,1,11,1,29,2271.57904782891,1463874.89237426,701538.661361988,-837.579047828913
"27","September",12,2009,3202,0,1,11,1,30,3008.74064290453,311467.822606814,37349.1791049539,193.259357095469
"28","September",8,2012,3961,1,0,14,1,30,3586.59683234446,1734734.03190914,140177.731950502,374.40316765554
"29","October",12,2013,2757,0,0,14,1,30,2976.79383393943,12790.0319091401,48309.3294377951,-219.793833939433
"30","November",20,2010,2324,0,0,12,1,31,1394.58205217123,102340.473769605,863817.721746242,929.41794782877
"31","November",2,2013,2678,0,0,14,1,33,2898.10218799114,1162.33423472147,48444.9731584881,-220.102187991142
"32","October",31,2015,2680,0,0,14,0,34,3316.28766575612,1302.70632774473,404861.993593378,-636.287665756125
"33","October",4,2008,2972,0,1,11,1,35,2399.66505969086,107645.03190914,327567.283898663,572.334940309137
"34","October",10,2015,2940,0,0,15,0,38,3121.1342229677,87671.078420768,32809.6067301139,-181.134222967704
"35","November",3,2012,2017,0,1,11,1,39,2408.03702434897,393012.357490535,152909.9544117,-391.037024348974
"36","September",4,2010,3059,0,1,11,0,39,2844.69676680567,172302.217955652,45925.8757575414,214.303233194325
"37","October",25,2014,3721,0,1,11,1,39,2907.91179389738,1160129.38074635,661112.430903171,813.088206102616
"38","October",17,2009,2194,0,1,11,1,39,2024.04910897681,202416.287723094,28883.305359577,169.950891023192
"39","September",6,2014,2985,0,1,11,0,41,3654.41892342879,116344.450513791,448121.695044554,-669.418923428785
"40","October",23,2010,2298,0,1,11,1,42,2034.83573821351,119651.636560303,69255.4286816266,263.164261786487
"41","October",30,2010,2956,0,0,14,1,42,2259.88756447208,97402.055164954,484572.52289661,696.112435527918
"42","November",7,2009,763,0,1,11,0,42,1208.43478044868,3537811.05516495,198412.143633359,-445.434780448675
"43","September",28,2013,2930,1,1,11,1,43,3261.85502642298,81849.2179556517,110127.758562198,-331.855026422982
